Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop HP Gaming Victus 16-E0170AX 4R0U7PA ,22990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 5800H,8.0,512.0,16.1
 Laptop Lenovo Yoga 7 2-in-1 14IML9 83DJ001FVN ,28990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop Lenovo Yoga Pro 7 14ASP9 83HN0022VN ,40990000.0,AMD Radeon 880M Graphics,AMD Ryzen AI 9 365,32.0,1000.0,14.5
 Laptop Lenovo Yoga Pro 7 14IMH9 83E2005DVN ,43490000.0,NVIDIA GeForce RTX 4050,Intel Core Ultra 7 155H,32.0,1000.0,14.5
 Laptop Lenovo LOQ 15IRX9 83DV00UGVN ,30490000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13650HX,24.0,512.0,15.6
 Laptop Lenovo Ideapad 5 14ABA7 82SE007EVN ,17490000.0,AMD Radeon Graphics,AMD Ryzen 7 5825U,16.0,512.0,14.0
 Laptop ASUS Gaming ROG Strix SCAR 16 G634JZR-NM009W ,105990000.0,NVIDIA GeForce RTX 4080,Intel Raptor Lake i9 14900HX,64.0,2000.0,16.0
 Laptop ASUS ExpertBook B1 B1402CVA-NK0104W ,10690000.0,INTEL UHD Graphics,Intel Core i3 1315U,8.0,256.0,14.0
 Laptop ASUS ExpertBook B1 B1502CVA-NJ0149W ,10990000.0,INTEL UHD Graphics,Intel Core i3 1315U,8.0,512.0,15.6
 Laptop Asus Zenbook 14 UX3402ZA-KM219W ,23690000.0,INTEL Iris Xe Graphics,Intel Core i5 1240P,16.0,512.0,14.0
 Laptop ASUS Vivobook 14 X1402ZA-EK084W ,11990000.0,INTEL Iris Xe Graphics,Intel Core I5 1240P,8.0,256.0,14.0
 Laptop Asus Tuf Gaming FA707RC HX130W ,24790000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 6800H,8.0,512.0,17.3
 Laptop ASUS VivoBook M513UA-L1221T ,18090000.0,AMD Radeon Graphics,AMD Ryzen 5 5500U,8.0,512.0,15.6
 Laptop Asus Vivobook Pro M3401QA KM006W ,15990000.0,AMD Radeon Graphics,AMD Ryzen 5   5600H,8.0,512.0,14.0
 Laptop Asus Zenbook 14 UX3402ZA-KM221W ,25450000.0,INTEL Iris Xe Graphics,Intel Core i7 1260P,16.0,512.0,14.0
 Laptop ASUS VivoBook M513UA-L1240T ,19690000.0,AMD Radeon Graphics,AMD Ryzen 7 5700U,8.0,512.0,15.6
 Laptop ASUS TUF Gaming A15 FA507XI-LP420W ,32990000.0,NVIDIA GeForce RTX 4070,AMD Ryzen 9 7940HS,8.0,512.0,15.6
 Laptop Lenovo Legion Slim 5 16IRH8 82YA00BUVN ,39990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13700H,16.0,512.0,16.0
 Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001SVN ,26690000.0,INTEL Arc Graphics,Intel core Ultra 7 155H,32.0,512.0,16.0
 Laptop ASUS VivoBook 15X A1503ZA-L1422W ,16490000.0,INTEL Iris Xe Graphics,Intel Core i5 12500H,8.0,512.0,15.6
 Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001RVN ,22690000.0,INTEL Arc Graphics,Intel core Ultra 5 125H,16.0,512.0,16.0
 Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JLVN ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,14.0
 Laptop Lenovo Legion 5 16IRX9 83DG004XVN  ,39990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13650HX,16.0,512.0,16.0
 Laptop Lenovo Ideapad 3 15IML05 81WB01DXVN ,9990000.0,INTEL UHD Graphics,Intel Core i3 Comet Lake 10110U,4.0,256.0,15.6
 Laptop Lenovo Ideapad Flex 5 14ALC7 82R900ECVN ,15490000.0,AMD Radeon Graphics,AMD Ryzen 7 5700U,16.0,512.0,14.0
 Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0004VN ,12490000.0,INTEL UHD Graphics,Intel Core i5 12450H,8.0,512.0,14.0
 Laptop Lenovo Ideapad Slim 5 16IAH8 83BG004EVN ,16990000.0,INTEL UHD Graphics,Intel Core i5 12450H,16.0,1000.0,16.0
 Laptop Lenovo LOQ 15IAX9 83GS001QVN ,25290000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12450HX,12.0,512.0,15.6
 Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006UVN ,23990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA006TVN ,21490000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,1000.0,14.0
 Laptop Lenovo Yoga Slim 6 14IRH8 83E00008VN ,24990000.0,INTEL Iris Xe Graphics,Intel Core i7 13700H,16.0,512.0,14.0
