Product name,Price,Brand,CPU Model,RAM size,Storage,Screen size,Battery,CPU Cache Size,CPU Cores,CPU Frequency,NPU,GPU,RAM frequency,RAM slots,RAM type,Audio,Webcam,OS,Ports,Size,Weight,Material,Color,Wireless connection,Keyboard,LED,Security,box,Series laptop,Part-number,Warranty,Refresh rate,Display Resolution,Screen Brightness ,Usage category
Laptop ACER Swift Go 14 AI SFG14-73-53X7,22790000.0,ACER,Intel Core Ultra 5125H,16.0,512.0,14.0,65.0,18MB,14.0,3.6 GHz,Intel AI Boost NPU,Intel Arc Graphics,6400MHz,1.0,LPDDR5,Acer TrueHarmony Technology,QHD,Windows 11 Home SL,"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",312.9 x 217.9 x 14.9 mm,1.3 kg,Vỏ nhôm,Bạc,"Wi-Fi 7 BE , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Vân tay,Cáp + Sạc,Swift Go,NX.KSLSV.001,12 tháng,120.0,2880 x 1800,400.0,basic
Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y,30590000.0,ACER,AMD Ryzen 7 8845HS,16.0,512.0,16.0,57.0,16MB,8.0,3.8 GHz,AMD XDNA 16 TOPS,NVIDIA GeForce RTX 4050,5600MHz,2.0,DDR5,,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",361.8 (W) x 278.4 (D) x 24.74/25.46 (H) mm,2.5 kg,Vỏ nhựa,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",không đèn,,"Adapter, dây nguồn, HDSD,…",Nitro V,NH.QP1SV.004,12 tháng,165.0,1920 x 1200,300.0,Gaming
Laptop Lenovo Legion 5 15IRX9 - 83JJ000FVN,37990000.0,Lenovo,Intel Core i713650HX,24.0,512.0,15.6,60.0,24MB,14.0,2.6 GHz,,NVIDIA GeForce RTX 4060,4800MHz,2.0,DDR5,Nahimic Audio,HD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",358.8 x 261.4 x 20.5-24.65 mm,2.3 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",không đèn,,,Legion,83JJ000FVN,24 tháng,144.0,1920 x 1080,300.0,Gaming
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN,52990000.0,Lenovo,Intel Core i914900HX,32.0,1024.0,16.0,,36MB,24.0,2.2 GHz,,NVIDIA GeForce RTX 4070,5600MHz,2.0,DDR5,Nahimic Audio,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
4 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",363.4 x 261.75 x 21.99-26.95 mm,2.5 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB 4 vùng",,,"Adapter, dây nguồn",Legion,83DF0046VN,24 tháng,240.0,2560 x 1600,500.0,Gaming
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004YVN,40990000.0,Lenovo,Intel Core i714650HX,16.0,512.0,16.0,,30MB,16.0,2.2 GHz,,NVIDIA GeForce RTX 4060,5600MHz,1.0,DDR5,Nahimic Audio,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.7 x 262.3 x 19.7-25.2 mm,2.3 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , RGB 4 vùng",,,"Adapter, dây nguồn",Legion,83DG004YVN,24 tháng,165.0,2560 x 1600,350.0,Gaming
Laptop AI Lenovo Yoga Book 9 13IMU9 - 83FF001SVN,61490000.0,Lenovo,Intel Core Ultra 7155U,32.0,1024.0,13.3,80.0,12MB,12.0,1.7 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,HD,Windows 11 Home SL + Office Home & Student 2021,"3 x Thunderbolt 4
Audio combo",299.1 x 203.9 x 15.95 mm,1.3 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , không đèn",,Khuôn mặt,Lenovo Digital Pen 3,Yoga,83FF001SVN,24 tháng,,2880 x 1800,400.0,Gaming
Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN,21490000.0,Lenovo,Intel Core Ultra 5125H,16.0,512.0,14.0,57.0,18MB,14.0,3.6 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",312 x 221 x 16.9 mm,1.5 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Khuôn mặt,,Ideapad,83DA001NVN,24 tháng,,1920 x 1200,400.0,basic
Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN,43990000.0,Lenovo,Intel Core Ultra 7155H,16.0,1024.0,14.0,75.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",316 x 220 x 15.9 mm,1.3 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83AC000SVN,24 tháng,120.0,2880 x 1800,400.0,basic
Laptop Yoga Slim 7 14IMH9 - 83CV001VVN,30990000.0,Lenovo,Intel Core Ultra 7155H,32.0,1024.0,14.0,65.0,24MB,16.0,3.8 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 221 x 14.9 mm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83CV001VVN,24 tháng,,1920 x 1200,400.0,basic
Laptop Lenovo Yoga Slim 7 14IMH9 - 83CV001UVN,30490000.0,Lenovo,Intel Core Ultra 7155H,32.0,512.0,14.0,65.0,24MB,16.0,3.8 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 221 x 14.9 mm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83CV001UVN,24 tháng,,1920 x 1200,400.0,basic
