Product name,Price,,Thương hiệu,Bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Âm thanh,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Chất liệu,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series laptop,Tên,Part-number,Màu sắc,Nhu cầu,Mô tả bảo hành,Dung lượng RAM,Dung lượng SSD,Cổng HDMI,Công suất pin,"Kích thước, khối lượng",Công nghệ âm thanh,Đèn laptop,Phụ kiện đi kèm,Tính năng đặc biệt
Laptop ACER Swift Go 14 AI SFG14-73-53X7 (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/ Windows 11),22.790.000₫,,ACER,12 tháng,"Intel® Core™ Ultra 5-125H ( 3.6 GHz - 4.5 GHz / 18MB / 14 nhân, 18 luồng ), Intel AI",Intel® AI Boost NPU,Onboard Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K IPS , 120Hz , không cảm ứng , 400 nits , 100% sRGB , Acer ComfyView",QHD webcam,1 x 16GB LPDDR5x 6400MHz Không nâng cấp được ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",Acer TrueHarmony Technology,"Wi-Fi 7 BE , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,312.9 x 217.9 x 14.9 mm,"4 cell 65 Wh , Pin liền",1.3 kg,Vỏ nhôm,Vân tay,không đèn,Cáp + Sạc,Swift Go,Swift Go AI 2024 Gen 2 SFG14-73-53X7,NX.KSLSV.001,Bạc,Văn phòng,,,,,,,,,,
Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y (Ryzen 7 8845HS/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),30.590.000₫,,ACER,12 tháng,"AMD Ryzen™ 7 8845HS ( 3.8 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD XDNA™ 16 TOPS,GeForce RTX™ 4050 6GB GDDR6 AMD Radeon 780M,"16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng , 300 nits , 100% sRGB , Acer ComfyView",HD webcam,2 x 8GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",Windows 11 Home SL,361.8 (W) x 278.4 (D) x 24.74/25.46 (H) mm,"4 cell 57 Wh , Pin liền",2.5 kg,Vỏ nhựa,,không đèn,"Adapter, dây nguồn, HDSD,…",Nitro V,Nitro V 16 ProPanel ANV16-41-R36Y,NH.QP1SV.004,Đen,Gaming,,,,,,,,,,
Laptop Lenovo Legion 5 15IRX9 - 83JJ000FVN (i7-13650HX/ RAM 24GB/ GeForce RTX™ 4060/ 512GB SSD/ Windows 11),37.990.000₫,,Lenovo,24 tháng,"Intel Core i7-13650HX ( 2.6 GHz - 4.9 GHz / 24MB / 14 nhân, 20 luồng ), Intel Core thế hệ thứ 13",,"GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics 710 ( 2370MHz , 140W , 233 AI TOPS )","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,2 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",Nahimic Audio,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,358.8 x 261.4 x 20.5-24.65 mm,"60 Wh , Pin liền",2.3 kg,Vỏ nhôm,,không đèn,,Legion,Legion 5 15IRX9 - 83JJ000FVN,83JJ000FVN,Xám,Gaming,,,,,,,,,,
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN (i9-14900HX/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11),52.990.000₫,,Lenovo,24 tháng,"Intel® Core™ i9-14900HX ( 2.2 GHz - 5.8 GHz / 36MB / 24 nhân, 32 luồng ), Non-EVO",,"GeForce RTX™ 4070 8GB GDDR6 Intel® UHD Graphics 770 ( 2370 MHz , 140W , 233 AI TOPS )","16"" ( 2560 x 1600 ) WQXGA IPS , 240Hz , 500 nits , 100% DCI-P3 , G-Sync",FHD webcam,2 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
4 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",Nahimic Audio,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB 4 vùng",Windows 11 Home,363.4 x 261.75 x 21.99-26.95 mm,4 cell Pin liền,2.5 kg,Vỏ nhôm,,,"Adapter, dây nguồn",Legion,Legion Pro 5 16IRX9 - 83DF0046VN,83DF0046VN,Xám,Gaming,,,,,,,,,,
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004YVN (i7-14650HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),40.990.000₫,,Lenovo,24 tháng,"Intel® Core™ i7-14650HX ( 2.2 GHz - 5.2 GHz / 30MB / 16 nhân, 24 luồng ), Non-EVO",,"GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics 710 ( 2370 MHz , 140W , 233 AI TOPS )","16"" ( 2560 x 1600 ) WQXGA IPS , 165Hz , 350 nits , 100% sRGB , G-Sync",FHD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",Nahimic Audio,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , RGB 4 vùng",Windows 11 Home,359.7 x 262.3 x 19.7-25.2 mm,4 cell Pin liền,2.3 kg,Vỏ nhôm,,,"Adapter, dây nguồn",Legion,Legion 5 16IRX9 - 83DG004YVN,83DG004YVN,Xám,Gaming,,,,,,,,,,
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004YVN (i7-14650HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),40.990.000₫,,Lenovo,24 tháng,"Intel® Core™ i7-14650HX ( 2.2 GHz - 5.2 GHz / 30MB / 16 nhân, 24 luồng ), Non-EVO",,"GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics 710 ( 2370 MHz , 140W , 233 AI TOPS )","16"" ( 2560 x 1600 ) WQXGA IPS , 165Hz , 350 nits , 100% sRGB , G-Sync",FHD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",Nahimic Audio,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , RGB 4 vùng",Windows 11 Home,359.7 x 262.3 x 19.7-25.2 mm,4 cell Pin liền,2.3 kg,Vỏ nhôm,,,"Adapter, dây nguồn",Legion,Legion 5 16IRX9 - 83DG004YVN,83DG004YVN,Xám,Gaming,,,,,,,,,,
Laptop AI Lenovo Yoga Book 9 13IMU9 - 83FF001SVN (Ultra 7-155U/RAM 32GB/Onboard/1TB SSD/Windows 11 + Office),61.490.000₫,,Lenovo,24 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard Intel® Arc™ Graphics,"13.3"" ( 2880 x 1800 ) 2.8K IPS , cảm ứng , 400 nits , 100% DCI-P3",HD webcam,32GB Onboard LPDDR5x Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"3 x Thunderbolt 4
Audio combo",Dolby Atmos,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , không đèn",Windows 11 Home SL + Office Home & Student 2021,299.1 x 203.9 x 15.95 mm,"80 Wh , Pin liền",1.3 kg,Vỏ nhôm,Khuôn mặt,,Lenovo Digital Pen 3,Yoga,Yoga Book 9 13IMU9 - 83FF001SVN,83FF001SVN,Xanh,Gaming,,,,,,,,,,
Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN (Ultra 5-125H) (Xám),21.490.000₫,,Lenovo,24 tháng,"Intel® Core™ Ultra 5-125H ( 3.6 GHz - 4.5 GHz / 18MB / 14 nhân, 18 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA OLED , không cảm ứng , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,16GB Onboard LPDDR5x ( Không / Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",Dolby Atmos,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,312 x 221 x 16.9 mm,"57 Wh , Pin liền",1.5 kg,Vỏ nhôm,Khuôn mặt,không đèn,,Ideapad,IdeaPad Slim 5 14IMH9 - 83DA001NVN,83DA001NVN,Xám,Văn phòng,,,,,,,,,,
Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN (Ultra 7-155H/ RAM 16GB/ Onboard/ 1TB SSD/ Windows 11 + Office),43.990.000₫,,Lenovo,24 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,Onboard Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) OLED , 120Hz , cảm ứng , 400 nits , 100% DCI-P3",100% DCI-P3,16GB Onbard LPDDR5x,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",Dolby Atmos,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,316 x 220 x 15.9 mm,"75 Wh , Pin liền",1.3 kg,Vỏ nhôm,Khuôn mặt,,,Yoga,Yoga 9 2in1-14IMH9 - 83AC000SVN,83AC000SVN,Xanh,Văn phòng,,,,,,,,,,
Laptop Yoga Slim 7 14IMH9 - 83CV001VVN (Ultra 7 155H) (Xám),30.990.000₫,,Lenovo,24 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA OLED , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,32GB Onbard LPDDR5x Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",Dolby Atmos,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,312 x 221 x 14.9 mm,"65 Wh , Pin liền",1.4 kg,Vỏ nhôm,Khuôn mặt,,,Yoga,Yoga Slim 7 14IMH9 - 83CV001VVN,83CV001VVN,Xám,Văn phòng,,,,,,,,,,
